"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-01","38","48","32"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-02","33","37","31"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-03","33","34","31"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-04","40","47","34"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-05","44","45","40"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-06","39","41","37"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-07","39","41","37"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-08","40","44","32"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-09","45","54","39"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-10","36","38","32"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-11","37","39","34"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-12","45","48","36"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-13","41","46","37"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-14","42","45","38"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-15","38","40","35"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-16","35","44","31"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-17","35","48","29"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-18","32","36","30"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-19","32","44","28"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-20","33","44","27"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-21","36","53","28"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-22","37","46","32"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-23","40","54","34"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-24","45","62","34"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-25","45","60","37"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-26","45","61","36"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-27","44","54","39"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-28","41","57","32"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-29","36","45","28"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-30","31","44","24"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-01-31","38","54","27"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-01","39","54","29"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-02","40","56","31"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-03","36","42","33"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-04","39","44","36"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-05","38","42","33"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-06","39","53","31"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-07","42","58","33"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-08","44","59","35"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-09","48","66","38"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-10","41","51","35"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-11","44","57","35"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-12","48","64","36"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-13","45","63","36"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-14","33","43","27"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-15","37","52","28"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-16","36","46","28"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-17","40","56","30"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-18","43","58","34"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-19","49","65","36"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-20","53","69","43"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-21","42","55","27"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-22","30","43","25"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-23","27","30","23"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-24","32","40","28"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-25","38","59","29"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-26","33","35","31"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-27","31","33","30"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-02-28","31","40","24"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-03-01","31","45","21"
"USR0000CSIM","SIMS CALIFORNIA, CA US","2023-03-02","39","59","26"
